Image_Name,assessment-1,assessment-2,assessment-3,assessment-4,assessment-5
ox_67.png,id,id,id,id,id
ox_46.png,id,id,id,id,id
dx_118.png,id,id,id,id,id
ox_7.png,id,id,id,id,id
ox_106.png,id,id,id,id,id
dlf_36.png,id,id,id,id,id
dlf_105.png,id,id,id,id,id
sv_15.png,id,id,id,id,id
ox_40.png,id,id,id,id,id
dx_52.png,id,id,id,id,id
ox_49.png,id,id,id,id,id
dlf_48.png,id,id,id,id,id
sv_71.png,id,id,id,id,id
dlf_61.png,id,id,id,id,id
dx_64.png,id,id,id,id,id
ox_29.png,id,id,id,id,id
dlf_24.png,id,id,id,id,id
dlf_10.png,id,id,id,id,id
ox_118.png,id,id,id,id,id
dx_74.png,id,id,id,id,id
dx_78.png,id,id,id,id,id
dlf_2.png,id,id,id,id,id
sv_82.png,id,id,id,id,id
sv_73.png,id,id,id,id,id
dx_24.png,id,id,id,id,id
ox_25.png,id,id,id,id,id
dlf_116.png,id,id,id,id,id
sv_105.png,ood,ood,ood,ood,ood
dx_46.png,id,id,id,id,id
sv_32.png,ood,ood,id,ood,ood
ox_102.png,id,id,id,id,id
dx_100.png,id,id,id,id,id
dlf_42.png,id,id,id,id,id
ox_93.png,id,id,id,id,id
dlf_45.png,id,id,id,id,id
dlf_14.png,id,id,id,id,id
ox_32.png,id,id,id,id,id
dlf_8.png,id,id,id,id,id
sv_27.png,id,id,id,id,id
dlf_18.png,id,id,id,id,id
dlf_93.png,id,id,id,id,id
dlf_75.png,id,id,id,id,id
dlf_66.png,id,id,id,id,id
dx_104.png,id,id,id,id,id
dlf_87.png,id,id,id,id,id
ox_104.png,id,id,id,id,id
dlf_112.png,id,id,id,id,id
ox_50.png,id,id,id,id,id
sv_75.png,id,id,id,id,id
ox_92.png,id,id,id,id,id
dx_54.png,id,id,id,id,id
dx_12.png,id,id,id,id,id
dx_60.png,id,id,id,id,id
dlf_40.png,id,id,id,id,id
ox_41.png,ood,ood,ood,ood,ood
sv_12.png,ood,ood,ood,ood,ood
sv_21.png,ood,ood,ood,ood,ood
dx_8.png,id,id,id,id,id
dx_65.png,id,id,id,id,id
dlf_118.png,id,id,id,id,id
sv_31.png,id,id,id,id,id
sv_8.png,ood,ood,ood,ood,ood
dlf_12.png,id,id,id,id,id
dlf_7.png,id,id,id,id,id
dlf_102.png,id,id,id,id,id
sv_55.png,id,id,id,id,id
dx_67.png,id,id,id,id,id
dx_84.png,id,id,id,id,id
ox_77.png,id,id,id,id,id
dx_35.png,id,id,id,id,id
sv_113.png,ood,ood,ood,ood,ood
dlf_115.png,id,id,id,id,id
ox_44.png,id,id,id,id,id
ox_11.png,id,id,id,id,id
dlf_3.png,id,id,id,id,id
sv_79.png,id,id,id,id,id
dlf_98.png,id,id,id,id,id
ox_107.png,id,id,id,id,id
dx_42.png,id,id,id,id,id
dlf_72.png,id,id,id,id,id
dx_97.png,id,id,id,id,id
dx_44.png,id,id,id,id,id
dx_77.png,id,id,id,id,id
dlf_77.png,id,id,id,id,id
dx_91.png,id,id,id,id,id
dx_79.png,id,id,id,id,id
sv_17.png,id,id,id,id,id
dlf_70.png,id,id,id,id,id
dlf_19.png,id,id,id,id,id
dx_119.png,id,id,id,id,id
dlf_63.png,id,id,id,id,id
dlf_91.png,id,id,id,id,id
sv_119.png,ood,ood,id,id,id
sv_5.png,id,id,id,id,id
ox_109.png,id,id,id,id,id
dlf_17.png,id,id,id,id,id
sv_18.png,id,id,id,id,id
ox_95.png,id,id,id,id,id
ox_55.png,id,id,id,id,id
ox_94.png,id,id,id,id,id
dlf_81.png,id,id,id,id,id
dlf_23.png,id,id,id,id,id
ox_47.png,id,id,id,id,id
dx_51.png,id,id,id,id,id
dx_103.png,id,id,id,id,id
dx_18.png,id,id,id,id,id
sv_43.png,ood,ood,ood,ood,ood
sv_70.png,ood,ood,ood,ood,ood
dx_25.png,id,id,id,id,id
ox_1.png,id,id,id,id,id
sv_42.png,ood,ood,ood,ood,ood
sv_85.png,ood,ood,ood,ood,ood
ox_8.png,id,id,id,id,id
dx_111.png,id,id,id,id,id
sv_6.png,ood,ood,ood,ood,ood
dx_32.png,id,id,id,id,id
ox_26.png,id,id,id,id,id
sv_77.png,ood,ood,ood,ood,ood
sv_48.png,ood,ood,ood,ood,ood
sv_92.png,ood,ood,ood,ood,ood
ox_60.png,id,id,id,id,id
dx_15.png,id,id,id,id,id
sv_104.png,ood,ood,ood,ood,ood
dx_10.png,id,id,id,id,id
sv_47.png,ood,ood,ood,ood,ood
ox_116.png,id,id,id,id,id
ox_14.png,id,id,id,id,id
dx_33.png,id,id,id,id,id
dx_27.png,id,id,id,id,id
dx_4.png,id,id,id,id,id
dx_31.png,id,id,id,id,id
dlf_53.png,id,id,id,id,id
dlf_51.png,id,id,id,id,id
ox_71.png,id,id,id,id,id
dlf_6.png,id,id,id,id,id
dx_96.png,id,id,id,id,id
dx_80.png,id,id,id,id,id
ox_58.png,id,id,id,id,id
dlf_16.png,id,id,id,id,id
sv_58.png,ood,ood,ood,ood,ood
sv_117.png,id,id,id,id,id
sv_114.png,id,id,id,id,id
ox_13.png,id,id,id,id,id
dx_92.png,id,id,id,id,id
sv_66.png,ood,ood,ood,ood,ood
ox_79.png,id,id,id,id,id
sv_46.png,ood,ood,ood,ood,ood
sv_3.png,id,id,id,id,id
sv_30.png,id,id,id,id,id
sv_28.png,id,id,id,id,id
dlf_32.png,id,id,id,id,id
dx_110.png,id,id,id,id,id
ox_68.png,id,id,id,id,id
dlf_73.png,id,id,id,id,id
dx_23.png,id,id,id,id,id
dx_45.png,id,id,id,id,id
sv_7.png,id,id,id,id,id
sv_107.png,ood,ood,ood,ood,ood
dlf_57.png,id,id,id,id,id
dx_39.png,id,id,id,id,id
sv_36.png,ood,ood,ood,ood,ood
ox_119.png,id,id,id,id,id
ox_34.png,id,id,id,id,id
ox_37.png,id,id,id,id,id
sv_1.png,ood,ood,ood,ood,ood
dx_58.png,id,id,id,id,id
dx_117.png,id,id,id,id,id
sv_69.png,id,id,id,id,id
ox_35.png,id,id,id,id,id
dlf_78.png,id,id,id,id,id
sv_72.png,ood,ood,ood,ood,ood
dx_108.png,id,id,id,id,id
ox_9.png,id,id,id,id,id
ox_17.png,id,id,id,id,id
ox_10.png,id,id,id,id,id
dlf_97.png,id,id,id,id,id
dx_73.png,id,id,id,id,id
dlf_94.png,id,id,id,id,id
dx_109.png,id,id,id,id,id
sv_88.png,ood,ood,ood,ood,ood
sv_23.png,id,id,id,id,id
sv_115.png,ood,ood,ood,ood,ood
sv_78.png,ood,ood,ood,ood,ood
dlf_13.png,id,id,id,id,id
dlf_58.png,id,id,id,id,id
dx_93.png,id,id,id,id,id
dx_85.png,id,id,id,id,id
dx_83.png,id,id,id,id,id
dlf_114.png,id,id,id,id,id
sv_108.png,ood,ood,ood,ood,ood
ox_43.png,id,id,id,id,id
sv_76.png,ood,ood,ood,ood,ood
ox_87.png,id,id,id,id,id
sv_19.png,ood,ood,ood,ood,ood
ox_16.png,id,id,id,id,id
ox_115.png,id,id,id,id,id
sv_103.png,ood,ood,ood,ood,ood
sv_33.png,id,id,id,id,id
dlf_64.png,id,id,id,id,id
dlf_21.png,id,id,id,id,id
ox_84.png,id,id,id,id,id
ox_69.png,id,id,id,id,id
ox_113.png,id,id,id,id,id
ox_36.png,id,id,id,id,id
dx_98.png,ood,ood,ood,ood,ood
dlf_27.png,id,id,id,id,id
dx_50.png,id,id,id,id,id
sv_112.png,ood,ood,ood,ood,ood
sv_111.png,ood,ood,ood,ood,ood
dx_6.png,id,id,id,id,id
sv_60.png,ood,ood,ood,ood,ood
ox_33.png,id,id,id,id,id
sv_64.png,id,id,id,id,id
dx_62.png,id,id,id,id,id
ox_65.png,id,id,id,id,id
ox_112.png,id,id,id,id,id
dlf_60.png,id,id,id,id,id
sv_24.png,id,ood,id,id,id
dx_34.png,id,id,id,id,id
dlf_82.png,id,id,id,id,id
dlf_80.png,id,id,id,id,id
ox_97.png,id,id,id,id,id
dx_37.png,id,id,id,id,id
dlf_20.png,id,id,id,id,id
dx_2.png,id,id,id,id,id
sv_97.png,ood,ood,ood,ood,ood
ox_63.png,id,id,id,id,id
dlf_47.png,id,id,id,id,id
dx_101.png,id,id,id,id,id
ox_6.png,id,id,id,id,id
dx_87.png,id,id,id,id,id
ox_54.png,id,id,id,id,id
sv_10.png,id,id,id,id,id
ox_108.png,id,id,id,id,id
ox_74.png,id,id,id,id,id
sv_109.png,id,id,id,id,id
ox_85.png,id,id,id,id,id
dx_107.png,id,id,id,id,id
dx_20.png,id,id,id,id,id
ox_83.png,id,id,id,id,id
dlf_5.png,id,id,id,id,id
dlf_35.png,id,id,id,id,id
ox_61.png,id,id,id,id,id
dx_116.png,id,id,id,id,id
sv_16.png,id,id,id,id,id
sv_57.png,ood,ood,ood,ood,ood
dlf_46.png,id,id,id,id,id
ox_81.png,id,id,id,id,id
ox_28.png,id,id,id,id,id
sv_34.png,ood,ood,ood,ood,ood
ox_22.png,id,id,id,id,id
sv_13.png,ood,ood,ood,ood,ood
ox_4.png,id,id,id,id,id
dlf_89.png,id,id,id,id,id
dx_53.png,id,id,id,id,id
sv_53.png,ood,ood,ood,ood,ood
dlf_96.png,id,id,id,id,id
sv_98.png,ood,ood,ood,ood,ood
dlf_54.png,id,id,id,id,id
dlf_49.png,id,id,id,id,id
sv_40.png,id,id,id,id,id
sv_51.png,ood,ood,ood,ood,ood
dlf_85.png,id,id,id,id,id
dx_56.png,id,id,id,id,id
ox_48.png,id,id,id,id,id
dlf_59.png,id,id,id,id,id
ox_99.png,id,id,id,id,id
dlf_76.png,id,id,id,id,id
dx_41.png,id,id,id,id,id
dlf_15.png,id,id,id,id,id
ox_3.png,id,id,id,id,id
dlf_50.png,id,id,id,id,id
ox_39.png,ood,ood,ood,ood,ood
ox_78.png,id,id,id,id,id
dlf_38.png,id,id,id,id,id
ox_18.png,id,id,id,id,id
sv_37.png,id,id,id,id,id
dlf_29.png,id,id,id,id,id
dx_106.png,id,id,id,id,id
sv_38.png,ood,ood,ood,ood,ood
ox_5.png,id,id,id,id,id
sv_86.png,id,id,id,id,id
dx_94.png,id,id,id,id,id
dx_49.png,id,id,id,id,id
ox_103.png,id,id,id,id,id
dlf_9.png,id,id,id,id,id
dx_90.png,id,id,id,id,id
dlf_4.png,id,id,id,id,id
sv_96.png,id,id,id,id,id
ox_98.png,id,id,id,id,id
sv_90.png,ood,ood,ood,ood,ood
dx_113.png,id,id,id,id,id
ox_23.png,id,id,id,id,id
dlf_30.png,id,id,id,id,id
dlf_39.png,id,id,id,id,id
dx_55.png,id,id,id,id,id
dx_105.png,id,id,id,id,id
dx_47.png,id,id,id,id,id
ox_38.png,id,id,id,id,id
ox_76.png,id,id,id,id,id
ox_51.png,id,ood,ood,ood,ood
dx_102.png,id,id,id,id,id
dlf_109.png,id,id,id,id,id
dlf_37.png,id,id,id,id,id
ox_111.png,id,id,id,id,id
dx_17.png,id,id,id,id,id
dlf_84.png,id,id,id,id,id
dlf_1.png,id,id,id,id,id
dlf_62.png,id,id,id,id,id
sv_99.png,ood,ood,ood,ood,ood
ox_89.png,id,id,id,id,id
dlf_25.png,id,id,id,id,id
ox_30.png,id,id,id,id,id
dlf_34.png,id,id,id,id,id
dx_88.png,id,id,id,id,id
ox_96.png,id,id,id,id,id
sv_62.png,ood,ood,ood,ood,ood
sv_100.png,id,id,id,id,id
ox_27.png,id,id,id,id,id
ox_53.png,id,id,id,id,id
ox_56.png,id,id,id,id,id
dlf_56.png,id,id,id,id,id
ox_105.png,id,id,id,id,id
dx_48.png,id,id,id,id,id
sv_94.png,ood,ood,ood,ood,ood
dx_69.png,id,id,id,id,id
sv_65.png,ood,ood,ood,ood,ood
dlf_107.png,id,id,id,id,id
dlf_65.png,id,id,id,id,id
sv_52.png,id,id,id,id,id
dlf_26.png,id,id,id,id,id
ox_24.png,id,id,id,id,id
sv_39.png,id,id,id,id,id
dx_72.png,id,id,id,id,id
dlf_44.png,id,id,id,id,id
dx_75.png,id,id,id,id,id
sv_44.png,ood,ood,ood,ood,ood
sv_101.png,id,id,id,id,id
dx_3.png,id,id,id,id,id
sv_110.png,id,id,id,id,id
sv_63.png,id,id,id,id,id
sv_4.png,id,id,id,id,id
dx_70.png,id,id,id,id,id
dx_76.png,id,id,id,id,id
ox_86.png,id,id,id,id,id
dx_43.png,id,id,id,id,id
dx_68.png,id,id,id,id,id
sv_50.png,id,id,id,id,id
dlf_95.png,id,id,id,id,id
dx_59.png,id,id,id,id,id
sv_83.png,ood,id,ood,ood,ood
dlf_69.png,id,id,id,id,id
dlf_11.png,id,id,id,id,id
dlf_106.png,id,id,id,id,id
sv_56.png,id,id,id,id,id
dx_21.png,id,id,id,id,id
dlf_103.png,id,id,id,id,id
sv_11.png,id,id,id,id,id
dlf_119.png,id,id,id,id,id
dx_99.png,id,id,id,id,id
sv_61.png,ood,ood,ood,ood,ood
ox_59.png,id,id,id,id,id
ox_2.png,id,id,id,id,id
dlf_52.png,id,id,id,id,id
dlf_117.png,id,id,id,id,id
ox_15.png,id,id,id,id,id
dlf_67.png,id,id,id,id,id
sv_84.png,id,id,id,id,id
ox_110.png,id,id,id,id,id
ox_52.png,id,id,id,id,id
sv_35.png,ood,ood,ood,ood,ood
ox_21.png,id,id,id,id,id
dx_115.png,id,id,id,id,id
ox_19.png,id,id,id,id,id
ox_90.png,id,id,id,id,id
sv_9.png,ood,ood,ood,ood,ood
dlf_90.png,id,id,id,id,id
dlf_68.png,id,id,id,id,id
sv_102.png,id,id,id,id,id
dlf_86.png,id,id,id,id,id
ox_12.png,id,id,id,id,id
ox_20.png,id,id,id,id,id
ox_45.png,id,id,id,id,id
ox_100.png,id,id,id,id,id
dx_9.png,id,id,id,id,id
dlf_41.png,id,id,id,id,id
sv_74.png,ood,ood,ood,ood,ood
dx_19.png,id,id,id,id,id
dlf_111.png,id,id,id,id,id
dx_86.png,id,id,id,id,id
dlf_22.png,id,id,id,id,id
dlf_43.png,id,id,id,id,id
dx_57.png,id,id,id,id,id
dx_7.png,id,id,id,id,id
dlf_83.png,id,id,id,id,id
sv_106.png,id,id,id,id,id
ox_117.png,id,id,id,id,id
dx_89.png,id,id,id,id,id
ox_82.png,id,id,id,id,id
dx_29.png,id,id,id,id,id
dlf_31.png,id,id,id,id,id
ox_101.png,id,id,id,id,id
