Q,ID,TOOL,expected,predicted,ID/OOD DAIV,loss daiv,loss selforacle,ass 1,ass 2,ID/OOD Human,misclass human 1,misclass human 2,misclass Humans,ID/OOD Selforacle 9999,tool_y,ID/OOD DeepSVDD,svdd scores,tool_y.1,ID/OOD LLM,ID/OOD LLM2,ID/OOD Selforacle 999,ID/OOD LLM3
4,dlf_12_e5_p8,dlf,5,8,ood,-779.952758789063,0.40063053,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2714016139507293,mnist_dlf,id,id,id,id
5,dlf_13_e5_p9,dlf,5,9,ood,304.40277099609403,0.36731088,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0154493004083633,mnist_dlf,id,id,ood,ood
6,dlf_14_e5_p3,dlf,5,3,id,639.0511474609381,0.33683306,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0054000020027159,mnist_dlf,id,id,id,id
7,dlf_15_e5_p8,dlf,5,8,ood,533.939147949219,0.36579168,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.093435913324356,mnist_dlf,id,id,id,id
8,dlf_16_e5_p3,dlf,5,3,id,656.102600097656,0.37351862,Digit 5,Not a digit,?,1,0,,id,mnist_dlf,id,0.0489230155944824,mnist_dlf,ood,id,id,ood
9,dlf_17_e5_p3,dlf,5,3,ood,375.41378784179705,0.42506456,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.075730562210083,mnist_dlf,ood,id,ood,ood
10,dlf_18_e5_p3,dlf,5,3,id,1079.08557128906,0.23258655,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0243504643440246,mnist_dlf,ood,id,id,id
11,dlf_19_e5_p3,dlf,5,3,ood,476.719360351563,0.4430982,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.1986937820911407,mnist_dlf,id,id,id,ood
12,dlf_2_e5_p8,dlf,5,8,ood,-1721.99890136719,0.2987914,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2816148400306701,mnist_dlf,id,id,id,ood
13,dlf_20_e5_p3,dlf,5,3,ood,-890.8040161132809,0.3042758,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0251330733299255,mnist_dlf,ood,id,id,ood
14,dlf_21_e5_p8,dlf,5,8,id,558.1763916015631,0.39122698,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2951038777828216,mnist_dlf,id,id,id,ood
15,dlf_22_e5_p3,dlf,5,3,ood,183.6450347900389,0.2941245,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0018744468688964,mnist_dlf,id,id,id,ood
16,dlf_23_e5_p3,dlf,5,3,id,1091.66943359375,0.2525923,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0360502451658248,mnist_dlf,ood,id,id,ood
17,dlf_24_e5_p3,dlf,5,3,id,964.150817871094,0.27191243,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0239680260419845,mnist_dlf,ood,id,id,ood
18,dlf_25_e5_p3,dlf,5,3,id,666.833801269531,0.31825948,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0492598116397857,mnist_dlf,ood,id,ood,ood
19,dlf_26_e5_p3,dlf,5,3,ood,-420.825317382813,0.3555316,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0184158980846405,mnist_dlf,id,id,id,id
20,dlf_27_e5_p7,dlf,5,7,id,709.53076171875,0.33682248,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.6963261365890503,mnist_dlf,ood,id,id,ood
21,dlf_28_e5_p0,dlf,5,0,ood,-311.476776123047,0.33343643,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0837367624044418,mnist_dlf,ood,id,id,ood
22,dlf_29_e5_p3,dlf,5,3,id,669.963073730469,0.32933596,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0264491438865661,mnist_dlf,ood,id,id,ood
23,dlf_3_e5_p6,dlf,5,6,ood,101.520393371582,0.38554072,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0250783115625381,mnist_dlf,id,id,ood,ood
24,dlf_30_e5_p6,dlf,5,6,id,571.0662841796881,0.306731,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0001585483551025,mnist_dlf,ood,id,id,ood
25,dlf_31_e5_p9,dlf,5,9,id,586.559753417969,0.34174693,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.040611520409584,mnist_dlf,id,id,id,ood
26,dlf_32_e5_p3,dlf,5,3,id,635.172668457031,0.38212213,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2740543186664581,mnist_dlf,ood,id,id,ood
27,dlf_33_e5_p7,dlf,5,7,id,936.689392089844,0.22500992,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2279374897480011,mnist_dlf,ood,id,id,ood
28,dlf_34_e5_p3,dlf,5,3,ood,509.732238769531,0.36018145,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.1534262001514434,mnist_dlf,ood,ood,id,ood
29,dlf_35_e5_p3,dlf,5,3,ood,-243.418548583984,0.3460293,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0003519803285598,mnist_dlf,ood,id,id,ood
30,dlf_36_e5_p7,dlf,5,7,id,799.4257202148441,0.29578128,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2314731180667877,mnist_dlf,ood,id,id,ood
31,dlf_37_e5_p3,dlf,5,3,ood,-1118.77722167969,0.34637576,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.1099753081798553,mnist_dlf,id,id,id,ood
32,dlf_38_e5_p3,dlf,5,3,id,627.7047119140631,0.3945789,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.1791178584098816,mnist_dlf,ood,id,id,id
33,dlf_39_e5_p3,dlf,5,3,ood,-998.5556640625,0.3365518,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.0069189965724945,mnist_dlf,ood,id,id,ood
34,dlf_4_e5_p3,dlf,5,3,id,1070.779296875,0.26653737,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,-0.05412258207798,mnist_dlf,id,id,id,id
35,dlf_40_e5_p8,dlf,5,8,ood,-262.65655517578097,0.3278038,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0416321158409118,mnist_dlf,ood,id,id,ood
36,dlf_41_e5_p8,dlf,5,8,ood,-451.121032714844,0.37001482,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0859277546405792,mnist_dlf,ood,id,id,ood
37,dlf_42_e5_p8,dlf,5,8,id,556.404541015625,0.35506174,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.1706506609916687,mnist_dlf,ood,id,id,ood
38,dlf_43_e5_p3,dlf,5,3,ood,329.03369140625,0.41229388,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.3361280858516693,mnist_dlf,ood,id,id,ood
39,dlf_44_e5_p8,dlf,5,8,ood,-1562.939453125,0.29172036,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2234080135822296,mnist_dlf,ood,id,id,ood
40,dlf_45_e5_p8,dlf,5,8,ood,209.017883300781,0.36414868,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.2372330725193023,mnist_dlf,id,id,id,id
41,dlf_46_e5_p3,dlf,5,3,ood,294.357421875,0.31101197,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.000233843922615,mnist_dlf,id,id,id,id
42,dlf_47_e5_p3,dlf,5,3,id,575.770263671875,0.38857776,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0841169655323028,mnist_dlf,id,id,ood,id
43,dlf_48_e5_p7,dlf,5,7,id,699.4369506835941,0.36401862,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,ood,0.5755503177642822,mnist_dlf,id,id,id,ood
